Street,Option1,Option2,Option3
Vase Vidovića,BUDŽAK,TRANZIT,
Vase Glušca,BORIK,STARČEVICA,
Vase Kondića,BUDŽAK,TRANZIT,
Vase Pelagića,BORIK,PALAS,
Vasilija Ostroškog,BUDŽAK,BORIK,
Vaclava Havlika Vene,STARČEVICA,MEJDAN,BORIK
Velebitska,LAUŠ,PALAS,
Velibora Janjetovića Janje,LAUŠ,PALAS,
Veljka Mlađenovića,BORIK/STARČEVICA,,
Veljka Petrovića,STARČEVICA,MEJDAN,BORIK
Veseli brijeg,STARČEVICA,MEJDAN,BORIK
Veselina Masleše,PALAS,,
Vida Nježića,STARČEVICA,MEJDAN,PALAS
Vida Simurdžića,LAUŠ,PALAS,
Vidovdanska,PALAS,TRANZIT,
Vilsonova,MEJDAN,STARČEVICA,PALAS
Visokih Dečana,STARČEVICA,MEJDAN,BORIK
Vjenceslava Novaka,BORIK,STARČEVICA,
Vladana Desnice,BUDŽAK,BORIK,
Vladike Platona,BORIK,TRANZIT,PALAS
Vladike Varnave Nastića,LAUŠ,PALAS,
Vladimira Rolovića,LAUŠ,PALAS,
Vladimira Zvonara,BUDŽAK,BORIK,
Vladislava Skarića,STARČEVICA,MEJDAN,BORIK
Vlašićka,LAUŠ,PALAS,
Voždovačka,TRANZIT,PALAS,
Vojna,BUDŽAK,TRANZIT,
Vojvode Momčila,PALAS,MEJDAN,
Vojvode Prijezde,BUDŽAK,BORIK,
Vojvode Pere Krece,MEJDAN,STARČEVICA,PALAS
Vojvode Radomira Putnika,BORIK,STARČEVICA,PALAS
Vojvode Sinđelića,TRANZIT,LAUŠ,
Vojvode Uroša Drenovića,PALAS,,
Vojvođanska,TRANZIT,LAUŠ,
Vrbaski put,BORIK,STARČEVICA,
Vrtače,LAUŠ,PALAS,
Vuka Karadžića,TRANZIT,PALAS,
