Street,Option1,Option2,Option3
Pave Radana,TRANZIT,PALAS,BORIK
Paje Jovanovića,BUDŽAK,,
Patre,PALAS,MEJDAN,
Palih boraca,STARČEVICA,MEJDAN,BORIK
Patrijarha Arsenija Čarnojevića,MEJDAN,STARČEVICA,PALAS
Patrijarha Makarija Sokolovića,PALAS,MEJDAN,
Pere Drljače ,MEJDAN,STARČEVICA,PALAS
Pere Slijepčevića,MEJDAN,STARČEVICA,PALAS
Peta kuljanska,BUDŽAK,,
Pete kozarske brigade,TRANZIT,PALAS,BUDŽAK
Peti prigradski put,STARČEVICA,MEJDAN,BORIK
Petra Velikog,BORIK,STARČEVICA,
Petra Kočića,TRANZIT,PALAS,BORIK
Petra Mećave,LAUŠ,PALAS,
Petra Pecije,BUDŽAK,BORIK,
Petra Preradovića,TRANZIT,PALAS,
Petra Rađenovića,TRANZIT,PALAS,
Petrovačka,LAUŠ,PALAS,
Petnaesta kuljanska,BUDŽAK,,
Pilanska,BUDŽAK,BORIK,
Pionirska,MEJDAN,STARČEVICA,PALAS
Plitvička,BUDŽAK,BORIK,
Podgrmečka,LAUŠ,PALAS,
Podgorička,BUDŽAK,,
Podkozarska,,,
Poljskog partizanskog bataljona,BUDŽAK,BORIK,
Ponirska,STARČEVICA,MEJDAN,BORIK
Pop Nikole Prokopića,BUDŽAK,,
Popa Jovice,PALAS,MEJDAN,
Prva kuljanska,BUDŽAK,,
Prve krajiške brigade narodne odbrane,STARČEVICA,MEJDAN,BORIK
Prvog krajiškog korpusa,TRANZIT,PALAS,BORIK
Prvog krajiškog proleterskog bataljona,BORIK,STARČEVICA,
Prištinska,BUDŽAK,,
Prijedorska,,,
Prote Vida Kovačevića,PALAS,MEJDAN,
ProteNikole Kostića,BUDŽAK,BORIK,
Prote Todora Srdića,MEJDAN,STARČEVICA,PALAS
Put banjalučkog odreda,MEJDAN,STARČEVICA,PALAS
Put srpskih branilaca,BUDŽAK,BORIK,
