Street,Option1,Option2,Option3
Jadranska,BUDŽAK,BORIK,
Janka Veselinovića,TRANZIT,BORIK,
Jaroslava Plecitija,TRANZIT,PALAS,BUDŽAK
Jaroslava Hašeka,BUDŽAK,TRANZIT,
Jasenovačkih logoraša,MEJDAN,STARČEVICA,PALAS
Jasimira Malčića,PALAS,LAUŠ,
Jaše Ignjatovića,PALAS,MEJDAN,
Jedanaesta kuljanska,BUDŽAK,,
Jevrejska,BORIK,PALAS,STARČEVICA
Jesenjinova,PALAS,MEJDAN,
Joakima Vujića,STARČEVICA,MEJDAN,BORIK
Jovana Bijelića,BUDŽAK,,
Jovana Dučića,PALAS/TRANZIT,,
Jovana Jančića,STARČEVICA,MEJDAN,BORIK
Jovana Cvijića,PALAS,MEJDAN,
Jovane Milošević,PALAS,MEJDAN,
Jovandanska,,,
Jovanke Gajić Zmijanke,LAUŠ,PALAS,
Jove G. Popovića,STARČEVICA,MEJDAN,BORIK
Jovice Savinović,BUDŽAK,TRANZIT,
Josifa Pančića,STARČEVICA,MEJDAN,BORIK
Jug Bogdana,STARČEVICA,MEJDAN,BORIK
