Street,Option1,Option2,Option3
Davida Štrpca,TRANZIT,LAUŠ,
Dalmatinska,BUDŽAK,,
Danice Perović,Borik,Česma,
Dalibora Dače Stojića,TRANZIT,LAUŠ,
Darka Jakmirovića,LAUŠ,PALAS,
Dvanaest beba,LAUŠ,PALAS,
Deveta kuljanska,BUDŽAK,,
Dvanaesta kuljanska,BUDŽAK,,
Dvadeseta kuljanska,BUDŽAK,,
Desesta kuljanska,BUDŽAK,,
Despota Konstantina Dragaša,LAUŠ,PALAS,
Despota Stefana Lazarevića,BUDŽAK,TRANZIT,
Dobojska,LAUŠ,PALAS,
Dobrinjska,,,
Dositeja Obradovića,BORIK,STARČEVICA,
Dr Božidara Adžije,LAUŠ,PALAS,
Drakulićkih žrtava,BUDŽAK,TRANZIT,
Dragana Bubića,BUDŽAK,TRANZIT,
Dragiše Vasića,TRANZIT,PALAS,
Dragomira Drage Malića,PALAS,TRANZIT,
Drakulićka,BUDŽAK,TRANZIT,
Druga kuljnska,BUDŽAK,,
Drvarska,LAUŠ,PALAS,
Dr Velimira Čolića,TRANZIT,LAUŠ,
Dr Vojislava Đede Kecmanovića,STARČEVICA,MEJDAN,BORIK
Dr Živka Nježića,BUDŽAK,TRANZIT,
Dr Jovana Raškovića,LAUŠ,PALAS,
Dr Koste Krsmanovića,LAUŠ,PALAS,
Dr Mladena Stojanovića,TRANZIT,PALAS,BORIK
Dubička,BUDŽAK,TRANZIT,
Dujke Komljenovića,STARČEVICA,MEJDAN,BORIK
Dunavska,BUDŽAK,BORIK,
Dušana i Vlade Kopanje,LAUŠ,PALAS,
Dušana Diljevića,PALAS,LAUŠ,
Dušana Jokića,LAUŠ,PALAS,
Dušana Subotića,LAUŠ,PALAS,
Duška Koščice,PALAS,MEJDAN,
Duška Trifunovića,PALAS,MEJDAN,
