Street,Option1,Option2,Option3
Baje Pivljanina,PALAS,LAUŠ,
Bana dr T Lazarevića,BORIK,PALAS,
Bana Milosavljevića,BORIK,PALAS,
Banijska,BUDŽAK,TRANZIT,
Banović Strahinje,MEJDAN,STARČEVICA,PALAS
B,BORIK,STARČEVICA,
Bilećka,BUDŽAK,,
Bitoljska,BUDŽAK,TRANZIT,
Blagoja Parovića,BUDŽAK,,
Bogdana Žerajića,LAUŠ,PALAS,
Bogdana Marića,PALAS,MEJDAN,
Bogdana Milanovića Krajišnika,STARČEVICA,MEJDAN,BORIK
Bože Varićaka,TRANZIT,PALAS,BORIK
Božurska,LAUŠ,,
Boždara Miće Babića,LAUŠ,PALAS,
Bože Nikolića,BUDŽAK,TRANZIT,
Bolanog Dojčina,PALAS,,
Bore Stankovića,BORIK,STARČEVICA,
Bose Živković,LAUŠ,PALAS,
Boška Tošića,MEJDAN,STARČEVICA,BORIK
Branislava Nušića,BUDŽAK,TRANZIT,
Branka Grbčića,BUDŽAK,TRANZIT,
Branka Zagorca,PALAS,MEJDAN,
Branka Majstorovića,PALAS,MEJDAN,
Branka Morače,PALAS,MEJDAN,
Branka Ćopića,BORIK,TRANZIT,STARCEVICA
Branka Perduva,BUDŽAK,BORIK,
Branka Popovića,BUDŽAK,BORIK,
Banka Radičevića,PALAS,TRANZIT,
Branka Koščice,PALAS,LAUŠ,
Braće Grdić,,,
Braće i sestara Glumac,BORIK,STARČEVICA,
Braće i sestara Kapor,PALAS,MEJDAN,
Braće i sestara Oljača,BORIK,STARČEVICA,
Braće Jugovića,MEJDAN,STARČEVICA,PALAS
Braće Kavića,STARČEVICA,MEJDAN,BORIK
Braće Kukrika,STARČEVICA,MEJDAN,BORIK
Braće Mažar i majke Marije,PALAS,MEJDAN,
Braće Miletića,MEJDAN,STARČEVICA,PALAS
Braće Pantića,PALAS,TRANZIT,
Braće Pišteljića,BUDŽAK,BORIK,
Braće Podgornika,BUDŽAK,BORIK,
Braće Sola,BUDŽAK,BORIK,
Braće Čubrilovića,MEJDAN,STARČEVICA,PALAS
Brace Potkonjaka,MEJDAN,STARČEVICA,PALAS
Bulevar vojvode Živojina Mišića,BORIK,STARČEVICA,
Bulevar vojvode Stepe Stepanovića,STARČEVICA,MEJDAN,PALAS/BORIK
Bulevar vojvode Petra Bojovića,STARČEVICA,BORIK,
Bulevar Desanke Maksimović,STARČEVICA,MEJDAN,BORIK
Bulevar Milutina Milankovića,BUDŽAK,BORIK,
Bulevar Srpske vojske,BUDŽAK,BORIK,
Bulevar Cara Dušana,PALAS,TRANZIT,
