Street,Option1,Option2,Option3
Majevička,BUDŽAK,TRANZIT,
Majke Jevrosime,LAUŠ,PALAS,
Majke Jugović,STARČEVICA,MEJDAN,BORIK
Majke Knežopoljke,BORIK,STARČEVICA,
Majke Kristine,PALAS,MEJDAN,
Majora Gavrilovića,STARČEVICA,MEJDAN,BORIK
Majora Drage Bajalovića,BUDŽAK,BORIK,
Maksima Gorkog,LAUŠ,TRANZIT,palas
Mala ulica,BUDŽAK,TRANZIT,
Manastira Gomionice,PALAS,MEJDAN,
Manastira Gračanice,STAEČEVICA,MEJDAN,BORIK
Manastira Moštanice,TRANZIT,PALAS,BUDŽAK
Manjačka,,,
Manjačkih ustanika,PALAS,MEJDAN,
Marije Bursać,PALAS,TRANZIT,
Marije Dimić,BUDŽAK,TRANZIT,
Marka Kraljevića,MEJDAN,STARČEVICA,PALAS
Marije Kiri,BUDŽAK,TRANZIT,
Marka Lipovca,BUDŽAK,BORIK,
Marka Miljanova,BUDŽAK,TRANZIT,
Marka Cara,STARČEVICA,MEJDAN,BORIK
Martinovac,BUDŽAK,TRANZIT,
Maršala Žukova,BUDŽAK,,
Masarikova,TRANZIT,PALAS,
Mačvanska,MEJDAN,STARČEVICA,PALAS
Meše Selimović,PALAS,MEJDAN,
Milana Brankovića,PALAS,LAUŠ,
Milana Budimira,PALAS,MEJDAN,
Milana Knežine,BUDŽAK,TRANZIT,
Milana Karanovića,BORIK,STARČEVICA,
Milana Radmana,TRANZIT,PALAS,
Milana Rakića,BORIK,PALAS,
Milana Tepića,PALAS,TRANZIT,
Milana Toplice,BUDŽAK,TRANZIT,
Milana Cvijetića,BUDŽAK,BORIK,
Milana Mirića,BUDŽAK,BORIK,
Milana Stevilovića,TRANZIT,PALAS,
Mile Bekute,PALAS,LAUŠ,
Mileševska,MEJDAN,STARČEVICA,PALAS
Milovana Glišića,MEJDAN,STARČEVICA,PALAS
Milice Stojadinović Sepkinje,STARČEVICA,MEJDAN,BORIK
Milovana Milanovića,BUDŽAK,BORIK,
Milovana Hrvaćanina,STARČEVICA,MEJDAN,BORIK
Milorada Umjenovića,LAUŠ,PALAS,
Miloša Crnjanskog,BUDŽAK,TRANZIT,
Miloša Dujića,STARČEVICA,MEJDAN,BORIK
Miloša Matića,LAUŠ,PALAS,
Miloša Popovića Đurina,BUDŽAK,BORIK,
Miloša Pocerca,STARČEVICA,MEJDAN,BORIK
Miloša Obilića,MEJDAN,STARČEVICA,PALAS
Milutina Bojića,BUDŽAK,,
Mirjane Jotanović,BUDŽAK,,
Mire Cikote,BUDŽAK,,
Mirka Kovačevića,MEJDAN,STARČEVICA,PALAS
Mis Adeline Irbi,STARČEVICA,MEJDAN,BORIK
Mihajla Pupina,PALAS,TRANZIT,
Miće Ljubibratića,BUDŽAK,TRANZIT,
Miće Radakovića,PALAS,MEJDAN,
Miše Stupara,BORIK,STARČEVICA,
Mladena Oljače,BUDŽAK,TRANZIT,
Mlađe Ćusića,BUDŽAK,TRANZIT,
Modrička,BUDŽAK,,
Mojkovačka,BUDŽAK,,
Momčila Nastasijevića,PALAS,MEJDAN,
Momčila Popovića,PALAS,LAUŠ,
Monahinje Jefimije,BUDŽAK,,
Moravska,BUDŽAK,,
Moslovačka,LAUŠ,TRANZIT,
Muhameda Mehmedbašića,PALAS,MEJDAN,
