Street,Option1,Option2,Option3
Ravnih kotara,LAUŠ,PALAS,
Ravnogorska,TRANZIT,PALAS,BORIK
Rade Vranješević,BORIK,STARČEVICA,
Rade Kondića,BUDŽAK,TRANZIT,
Rade Marjanca,LAUŠ,TRANZIT,
Rade Radića,STARČEVICA,MEJDAN,BORIK
Radovana Vulina,BUDŽAK,BORIK,
Radoja  Domanovića,PALAS,MEJDAN,
Radoslava Lakića,TRANZIT,PALAS,
Rajka Bosnića,STARČEVICA,MEJDAN,BORIK
Rakovačkih rudara,BUDŽAK,TRANZIT,
Ranka Šipke,TRANZIT,LAUŠ,
Ranka Miličevića,TRANZIT,PALAS,
RastkaPetrovića,,,
Raška,PALAS,MEJDAN,
Relje Krilatice,BORIK,STARČEVICA,
Relje Kneževića,LAUŠ,PALAS,
Romanijska,LAUŠ,TRANZIT,
