Street,Option1,Option2,Option3
Kajmakčalanska,BUDŽAK,,
Kalemegdanska,MEJDAN,STARČEVICA,PALAS
Karađorđeva,LAUŠ,PALAS,
Karanovića,BUDŽAK,TRANZIT,
Ključka,PALAS,LAUŠ,
Knežopoljska,BORIK,STARČEVICA,
Kneževska,BUDŽAK,TRANZIT,
Kninska,PALAS,TRANZIT,
Knjaza Miloša,BUDŽAK,BORIK,
Kozarska,PALAS,MEJDAN,
Kojića put,BUDŽAK,BORIK,
K,LAUŠ,PALAS,
Kolubarska,PALAS,MEJDAN,
Kordunaška,BORIK,STARČEVICA,
Kosovke djevojke,STARČEVICA,MEJDAN,BORIK
Kosovska,LAUŠ,PALAS,
Koste Abraševića,BUDŽAK,TRANZIT,
Koste Vojnovića,MEJDAN,STARČEVICA,PALAS
Koste Jarića,STARČEVICA,MEJDAN,BORIK
Koste Majkića,LAUŠ,PALAS,
Kragujevačkih i kraljevačkih žrtava,MEJDAN,STARČEVICA,PALAS
Krajiška,LAUŠ,TRANZIT,
Krajiških brigada,TRANZIT,,
Kralja Aleksandra Prvog Karađorđevića,BUDŽAK,TRANZIT,
KraLja Alfonsa,BORIK,PALAS,
Kralja Nikole,PALAS,MEJDAN,
Kralja Tvrtka Kotromanića,BUDŽAK,TRANZIT,
Kralja Petra I Karađorđevića,PALAS/TRANZIT,,
Kralja Petra II Karađorđevića,TRANZIT,PALAS,
Kraljice Marije,BUDŽAK,BORIK,
Krfska,MEJDAN,STARČEVICA,PALAS
Kupreška,BUDŽAK,TRANZIT,
Kutuzova,PALAS,MEJDAN,
